Measure Mode: process_time_time
Thread ID: 70198652961280
Fiber ID: 70198652682660
Total: 0.031933
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.000     0.000     0.000     0.000        2   URI::RFC3986_Parser#split
  0.08      0.000     0.000     0.000     0.000        5   ActionView::Base#digest_assets
  0.08      0.000     0.000     0.000     0.000       14   String#[]
  0.08      0.000     0.000     0.000     0.000        9   ActiveSupport::SafeBuffer#chomp
  0.08      0.000     0.000     0.000     0.000        1   WillPaginate::ActiveRecord::Pagination#page
  0.08      0.000     0.000     0.000     0.000        5   Sprockets::Rails::Helper#check_errors_for
  0.08      0.000     0.000     0.000     0.000        6   Rack::Request#script_name
  0.08      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::LogSubscriber>#runtime
  0.08      0.000     0.000     0.000     0.000        4   ActionView::Resolver#cached
  0.08      0.000     0.000     0.000     0.000        8   String#=~
  0.08      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryMethods#extending
  0.08      0.000     0.000     0.000     0.000        9   ActiveRecord::Type::Value#type_cast_from_database
  0.08      0.000     0.000     0.000     0.000        1   Time#to_default_s
  0.08      0.000     0.000     0.000     0.000        9   <Class::ActiveRecord::Base>#default_connection_handler
  0.08      0.000     0.000     0.000     0.000        9   Array#==
  0.08      0.000     0.000     0.000     0.000        9   ActiveRecord::Type::Value#type_cast
  0.08      0.031     0.000     0.000     0.031        1   ActiveSupport::Testing::Performance::Metrics::Base#profile
  0.08      0.000     0.000     0.000     0.000        9   Mime::Type#to_sym
  0.08      0.000     0.000     0.000     0.000       14   Haml::Buffer#toplevel?
  0.08      0.001     0.000     0.000     0.001        1   Rack::Test::Session#env_for
  0.08      0.000     0.000     0.000     0.000        2   ActionView::Rendering#_process_format
  0.08      0.000     0.000     0.000     0.000        4   String#sub!
  0.08      0.000     0.000     0.000     0.000        3   ActiveRecord::LazyAttributeHash#initialize
  0.08      0.000     0.000     0.000     0.000        3   ActiveRecord::Type::String#cast_value
  0.08      0.000     0.000     0.000     0.000        3   ActionDispatch::Http::MimeNegotiation#formats
  0.08      0.000     0.000     0.000     0.000        6   #<Module:0x007fb0cc15f110>#__temp__479647c656
  0.08      0.000     0.000     0.000     0.000        6   ActiveSupport::Notifications::Event#duration
  0.08      0.000     0.000     0.000     0.000        7   Rack::Utils::HeaderHash#[]
  0.08      0.000     0.000     0.000     0.000        8   ActionView::LogSubscriber#logger
  0.08      0.000     0.000     0.000     0.000       18   Hash#[]
  0.08      0.000     0.000     0.000     0.000       13   Array#-
  0.08      0.000     0.000     0.000     0.000        2   <Class::ActionDispatch::Request::Session>#find
  0.08      0.000     0.000     0.000     0.000        6   Array#initialize
  0.07      0.019     0.000     0.000     0.019        1   ActionController::MimeResponds#respond_to
  0.07      0.000     0.000     0.000     0.000        3   UnboundMethod#bind
  0.07      0.000     0.000     0.000     0.000        1   ActionView::PartialRenderer#retrieve_template_keys
  0.07      0.000     0.000     0.000     0.000        9   #<Class:0x007fb0cf1213f8>#logger
  0.07      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#exists?
  0.07      0.000     0.000     0.000     0.000       10   String#freeze
  0.07      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::LogSubscriber>#runtime=
  0.07      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#setup_fixtures
  0.07      0.000     0.000     0.000     0.000        1   ActionController::Base#_wrapper_options
  0.07      0.000     0.000     0.000     0.000        1   ActionView::LookupContext#initialize
  0.07      0.000     0.000     0.000     0.000        7   <Class::ActiveRecord::RuntimeRegistry>#sql_runtime
  0.07      0.000     0.000     0.000     0.000        9   ActiveRecord::ConnectionHandling#connection_id
  0.07      0.000     0.000     0.000     0.000        7   Enumerable#each_with_object
  0.07      0.000     0.000     0.000     0.000        5   ActionView::Base#assets_prefix
  0.07      0.000     0.000     0.000     0.000        2   URI::RFC3986_Parser#parse
  0.07      0.000     0.000     0.000     0.000        8   Hash#symbolize_keys
  0.07      0.000     0.000     0.000     0.000        3   ActiveRecord::AttributeSet::Builder#build_from_database
  0.07      0.000     0.000     0.000     0.000        3   Kernel#clone
  0.07      0.000     0.000     0.000     0.000       15   ActiveSupport::SafeBuffer#html_safe?
  0.07      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::ViewPaths#args_for_lookup
  0.07      0.000     0.000     0.000     0.000        1   Rack::Utils#parse_query
  0.07      0.000     0.000     0.000     0.000       12   NilClass#blank?
  0.07      0.000     0.000     0.000     0.000       17   Kernel#kind_of?
  0.07      0.000     0.000     0.000     0.000        5   ActionDispatch::Http::Parameters#path_parameters
  0.07      0.000     0.000     0.000     0.000       17   MatchData#[]
  0.07      0.001     0.000     0.000     0.000        9  *Arel::Visitors::Reduce#visit
  0.07      0.000     0.000     0.000     0.000        9   Arel::Visitors::Visitor#dispatch
  0.07      0.000     0.000     0.000     0.000        5   Rack::Request#query_string
  0.07      0.000     0.000     0.000     0.000        3   <Module::ActionDispatch::Http::URL>#path_for
  0.07      0.000     0.000     0.000     0.000        1   Rack::Response#initialize
  0.07      0.001     0.000     0.000     0.001        1   ActiveRecord::Result#each
  0.07      0.000     0.000     0.000     0.000        8   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.07      0.000     0.000     0.000     0.000        7   SQLite3::Statement#column_decltype
  0.07      0.000     0.000     0.000     0.000        9   <Class::ActiveRecord::RuntimeRegistry>#connection_id
  0.07      0.000     0.000     0.000     0.000        4   Array#extract_options!
  0.07      0.000     0.000     0.000     0.000        9   <Module::Process>#pid
  0.07      0.000     0.000     0.000     0.000        8   Logger#format_severity
  0.07      0.025     0.000     0.000     0.025        1   ActionView::Rendering#process
  0.07      0.018     0.000     0.000     0.017        1   ActionView::TemplateRenderer#render_with_layout
  0.07      0.001     0.000     0.000     0.001        7   ActiveSupport::Notifications::Fanout#listening?
  0.07      0.000     0.000     0.000     0.000       13   Kernel#===
  0.07      0.000     0.000     0.000     0.000        2   Array#reject!
  0.06      0.000     0.000     0.000     0.000        3   Object#try
  0.06      0.000     0.000     0.000     0.000        8   <Class::ActionView::Base>#logger
  0.06      0.000     0.000     0.000     0.000        4   ActionView::PathSet#find_all
  0.06      0.000     0.000     0.000     0.000       11   Array#shift
